material_ID,local_ID,saldo,createdAt,createdBy,modifiedAt,modifiedBy
3511e24a-5fbe-4796-a641-5668ed87a622,431cc1a4-c58b-4a10-bd00-f9205643d73f,32.68,2026-05-07T07:07:25Z,system,,
3511e24a-5fbe-4796-a641-5668ed87a622,a99d45f2-0680-43be-8e4f-23ec2558f942,75.891,2026-05-07T07:07:25Z,system,,
3511e24a-5fbe-4796-a641-5668ed87a622,ed8bd5b1-1f8b-45f9-999e-243aaca68427,197.905,2026-05-07T07:07:25Z,system,,
ffe0653b-4b4f-4c96-9983-dd3d204ebfb2,431cc1a4-c58b-4a10-bd00-f9205643d73f,128.0,2026-05-07T07:07:25Z,system,,
ffe0653b-4b4f-4c96-9983-dd3d204ebfb2,a99d45f2-0680-43be-8e4f-23ec2558f942,111.39,2026-05-07T07:07:25Z,system,,
ffe0653b-4b4f-4c96-9983-dd3d204ebfb2,ed8bd5b1-1f8b-45f9-999e-243aaca68427,250.000,2026-05-07T07:07:25Z,system,,
e8b1c328-2945-4dd8-931e-762692d42930,431cc1a4-c58b-4a10-bd00-f9205643d73f,168.57,2026-05-07T07:07:25Z,system,,
e8b1c328-2945-4dd8-931e-762692d42930,a99d45f2-0680-43be-8e4f-23ec2558f942,155.2,2026-05-07T07:07:25Z,system,,
e8b1c328-2945-4dd8-931e-762692d42930,ed8bd5b1-1f8b-45f9-999e-243aaca68427,200.000,2026-05-07T07:07:25Z,system,,
1c7f523a-11df-4462-b82b-c7e991203bc1,431cc1a4-c58b-4a10-bd00-f9205643d73f,6.42,2026-05-07T07:07:25Z,system,,
1c7f523a-11df-4462-b82b-c7e991203bc1,a99d45f2-0680-43be-8e4f-23ec2558f942,150.000,2026-05-07T07:07:25Z,system,,
1c7f523a-11df-4462-b82b-c7e991203bc1,ed8bd5b1-1f8b-45f9-999e-243aaca68427,53.548,2026-05-07T07:07:25Z,system,,
bfffa1e4-19b6-4db1-a75a-79797594f871,431cc1a4-c58b-4a10-bd00-f9205643d73f,42.197,2026-05-07T07:07:25Z,system,,
bfffa1e4-19b6-4db1-a75a-79797594f871,a99d45f2-0680-43be-8e4f-23ec2558f942,188.582,2026-05-07T07:07:25Z,system,,
bfffa1e4-19b6-4db1-a75a-79797594f871,ed8bd5b1-1f8b-45f9-999e-243aaca68427,175.274,2026-05-07T07:07:25Z,system,,
409e0c48-1d3a-43a3-81c3-b40508ea6e7a,431cc1a4-c58b-4a10-bd00-f9205643d73f,62.936,2026-05-07T07:07:25Z,system,,
409e0c48-1d3a-43a3-81c3-b40508ea6e7a,a99d45f2-0680-43be-8e4f-23ec2558f942,131.088,2026-05-07T07:07:25Z,system,,
409e0c48-1d3a-43a3-81c3-b40508ea6e7a,ed8bd5b1-1f8b-45f9-999e-243aaca68427,79.126,2026-05-07T07:07:25Z,system,,
